iShares Core S&P Total U.S. Stock Market ETF,
,
Fund Inception,20-Jan-2004
,
Month End Date,Monthly Total (NAV) Return
"Jan 31, 2004",--
"Feb 29, 2004",1.48
"Mar 31, 2004",-1.26
"Apr 30, 2004",-1.79
"May 31, 2004",1.42
"Jun 30, 2004",2.08
"Jul 31, 2004",-3.51
"Aug 31, 2004",0.27
"Sep 30, 2004",1.39
"Oct 31, 2004",1.52
"Nov 30, 2004",4.37
"Dec 31, 2004",3.40
"Jan 31, 2005",-2.45
"Feb 28, 2005",2.22
"Mar 31, 2005",-1.75
"Apr 30, 2005",-2.22
"May 31, 2005",3.53
"Jun 30, 2005",0.45
"Jul 31, 2005",3.94
"Aug 31, 2005",-0.98
"Sep 30, 2005",0.82
"Oct 31, 2005",-1.81
"Nov 30, 2005",3.88
"Dec 31, 2005",0.03
"Jan 31, 2006",3.16
"Feb 28, 2006",0.11
"Mar 31, 2006",1.49
"Apr 30, 2006",1.27
"May 31, 2006",-3.10
"Jun 30, 2006",0.12
"Jul 31, 2006",0.14
"Aug 31, 2006",2.23
"Sep 30, 2006",2.33
"Oct 31, 2006",3.37
"Nov 30, 2006",2.03
"Dec 31, 2006",1.19
"Jan 31, 2007",1.69
"Feb 28, 2007",-1.70
"Mar 31, 2007",1.13
"Apr 30, 2007",4.19
"May 31, 2007",3.63
"Jun 30, 2007",-1.71
"Jul 31, 2007",-3.28
"Aug 31, 2007",1.45
"Sep 30, 2007",3.55
"Oct 31, 2007",1.66
"Nov 30, 2007",-4.37
"Dec 31, 2007",-0.68
"Jan 31, 2008",-5.96
"Feb 29, 2008",-3.14
"Mar 31, 2008",-0.46
"Apr 30, 2008",5.01
"May 31, 2008",1.71
"Jun 30, 2008",-8.29
"Jul 31, 2008",-0.82
"Aug 31, 2008",1.55
"Sep 30, 2008",-8.97
"Oct 31, 2008",-17.30
"Nov 30, 2008",-7.49
"Dec 31, 2008",1.48
"Jan 31, 2009",-8.48
"Feb 28, 2009",-10.59
"Mar 31, 2009",8.74
"Apr 30, 2009",10.21
"May 31, 2009",5.19
"Jun 30, 2009",0.27
"Jul 31, 2009",7.74
"Aug 31, 2009",3.58
"Sep 30, 2009",3.95
"Oct 31, 2009",-2.25
"Nov 30, 2009",5.72
"Dec 31, 2009",2.47
"Jan 31, 2010",-3.57
"Feb 28, 2010",3.31
"Mar 31, 2010",6.15
"Apr 30, 2010",1.93
"May 31, 2010",-7.89
"Jun 30, 2010",-5.42
"Jul 31, 2010",6.94
"Aug 31, 2010",-4.64
"Sep 30, 2010",9.15
"Oct 31, 2010",3.79
"Nov 30, 2010",0.38
"Dec 31, 2010",6.67
"Jan 31, 2011",2.23
"Feb 28, 2011",3.54
"Mar 31, 2011",0.34
"Apr 30, 2011",2.91
"May 31, 2011",-1.16
"Jun 30, 2011",-1.71
"Jul 31, 2011",-2.22
"Aug 31, 2011",-5.66
"Sep 30, 2011",-7.43
"Oct 31, 2011",11.26
"Nov 30, 2011",-0.21
"Dec 31, 2011",0.89
"Jan 31, 2012",4.71
"Feb 29, 2012",4.23
"Mar 31, 2012",3.13
"Apr 30, 2012",-0.63
"May 31, 2012",-6.06
"Jun 30, 2012",3.93
"Jul 31, 2012",1.17
"Aug 31, 2012",2.38
"Sep 30, 2012",2.51
"Oct 31, 2012",-1.78
"Nov 30, 2012",0.73
"Dec 31, 2012",1.09
"Jan 31, 2013",5.35
"Feb 28, 2013",1.33
"Mar 31, 2013",3.84
"Apr 30, 2013",1.72
"May 31, 2013",2.40
"Jun 30, 2013",-1.33
"Jul 31, 2013",5.23
"Aug 31, 2013",-2.94
"Sep 30, 2013",3.41
"Oct 31, 2013",4.48
"Nov 30, 2013",2.94
"Dec 31, 2013",2.52
"Jan 31, 2014",-3.36
"Feb 28, 2014",4.59
"Mar 31, 2014",0.79
"Apr 30, 2014",0.41
"May 31, 2014",2.22
"Jun 30, 2014",2.32
"Jul 31, 2014",-1.76
"Aug 31, 2014",4.09
"Sep 30, 2014",-1.79
"Oct 31, 2014",2.67
"Nov 30, 2014",2.51
"Dec 31, 2014",-0.06
"Jan 31, 2015",-2.88
"Feb 28, 2015",5.71
"Mar 31, 2015",-1.24
"Apr 30, 2015",0.61
"May 31, 2015",1.33
"Jun 30, 2015",-1.79
"Jul 31, 2015",1.84
"Aug 31, 2015",-5.97
"Sep 30, 2015",-2.57
"Oct 31, 2015",8.15
"Nov 30, 2015",0.45
"Dec 31, 2015",-1.88
"Jan 31, 2016",-5.68
"Feb 29, 2016",-0.02
"Mar 31, 2016",7.04
"Apr 30, 2016",0.62
"May 31, 2016",1.79
"Jun 30, 2016",0.19
"Jul 31, 2016",3.97
"Aug 31, 2016",0.28
"Sep 30, 2016",0.17
"Oct 31, 2016",-2.24
"Nov 30, 2016",4.42
"Dec 31, 2016",1.96
"Jan 31, 2017",1.95
"Feb 28, 2017",3.69
"Mar 31, 2017",0.08
"Apr 30, 2017",1.04
"May 31, 2017",1.01
"Jun 30, 2017",0.93
"Jul 31, 2017",1.86
"Aug 31, 2017",0.20
"Sep 30, 2017",2.47
"Oct 31, 2017",2.17
"Nov 30, 2017",3.07
"Dec 31, 2017",1.01
"Jan 31, 2018",5.29
"Feb 28, 2018",-3.69
"Mar 31, 2018",-1.99
"Apr 30, 2018",0.36
"May 31, 2018",2.82
"Jun 30, 2018",0.66
"Jul 31, 2018",3.36
"Aug 31, 2018",3.47
"Sep 30, 2018",0.15
"Oct 31, 2018",-7.38
"Nov 30, 2018",2.01
"Dec 31, 2018",-9.31
"Jan 31, 2019",8.63
"Feb 28, 2019",3.49