iShares Russell 1000 Value ETF,
,
Fund Inception,22-May-2000
,
Month End Date,Monthly Total (NAV) Return
"May 31, 2000",--
"Jun 30, 2000",-4.68
"Jul 31, 2000",1.39
"Aug 31, 2000",5.54
"Sep 30, 2000",0.86
"Oct 31, 2000",2.48
"Nov 30, 2000",-3.72
"Dec 31, 2000",4.99
"Jan 31, 2001",0.35
"Feb 28, 2001",-2.79
"Mar 31, 2001",-3.53
"Apr 30, 2001",4.91
"May 31, 2001",2.20
"Jun 30, 2001",-2.23
"Jul 31, 2001",-0.24
"Aug 31, 2001",-4.01
"Sep 30, 2001",-7.02
"Oct 31, 2001",-0.86
"Nov 30, 2001",5.78
"Dec 31, 2001",2.34
"Jan 31, 2002",-0.79
"Feb 28, 2002",0.15
"Mar 31, 2002",4.72
"Apr 30, 2002",-3.45
"May 31, 2002",0.50
"Jun 30, 2002",-5.78
"Jul 31, 2002",-9.25
"Aug 31, 2002",0.71
"Sep 30, 2002",-11.12
"Oct 31, 2002",7.39
"Nov 30, 2002",6.22
"Dec 31, 2002",-4.34
"Jan 31, 2003",-2.44
"Feb 28, 2003",-2.68
"Mar 31, 2003",0.14
"Apr 30, 2003",8.77
"May 31, 2003",6.44
"Jun 30, 2003",1.24
"Jul 31, 2003",1.48
"Aug 31, 2003",1.54
"Sep 30, 2003",-1.00
"Oct 31, 2003",6.09
"Nov 30, 2003",1.36
"Dec 31, 2003",6.11
"Jan 31, 2004",1.75
"Feb 29, 2004",2.13
"Mar 31, 2004",-0.89
"Apr 30, 2004",-2.45
"May 31, 2004",1.02
"Jun 30, 2004",2.33
"Jul 31, 2004",-1.40
"Aug 31, 2004",1.39
"Sep 30, 2004",1.54
"Oct 31, 2004",1.65
"Nov 30, 2004",5.02
"Dec 31, 2004",3.33
"Jan 31, 2005",-1.79
"Feb 28, 2005",3.30
"Mar 31, 2005",-1.34
"Apr 30, 2005",-1.82
"May 31, 2005",2.40
"Jun 30, 2005",1.10
"Jul 31, 2005",2.88
"Aug 31, 2005",-0.44
"Sep 30, 2005",1.40
"Oct 31, 2005",-2.56
"Nov 30, 2005",3.25
"Dec 31, 2005",0.58
"Jan 31, 2006",3.87
"Feb 28, 2006",0.58
"Mar 31, 2006",1.34
"Apr 30, 2006",2.52
"May 31, 2006",-2.53
"Jun 30, 2006",0.63
"Jul 31, 2006",2.42
"Aug 31, 2006",1.64
"Sep 30, 2006",1.96
"Oct 31, 2006",3.25
"Nov 30, 2006",2.27
"Dec 31, 2006",2.23
"Jan 31, 2007",1.28
"Feb 28, 2007",-1.56
"Mar 31, 2007",1.53
"Apr 30, 2007",3.66
"May 31, 2007",3.60
"Jun 30, 2007",-2.35
"Jul 31, 2007",-4.63
"Aug 31, 2007",1.10
"Sep 30, 2007",3.42
"Oct 31, 2007",0.00
"Nov 30, 2007",-4.88
"Dec 31, 2007",-0.97
"Jan 31, 2008",-4.00
"Feb 29, 2008",-4.19
"Mar 31, 2008",-0.77
"Apr 30, 2008",4.85
"May 31, 2008",-0.17
"Jun 30, 2008",-9.57
"Jul 31, 2008",-0.36
"Aug 31, 2008",1.70
"Sep 30, 2008",-7.33
"Oct 31, 2008",-17.28
"Nov 30, 2008",-7.16
"Dec 31, 2008",1.39
"Jan 31, 2009",-11.48
"Feb 28, 2009",-13.31
"Mar 31, 2009",8.54
"Apr 30, 2009",10.70
"May 31, 2009",6.16
"Jun 30, 2009",-0.73
"Jul 31, 2009",8.18
"Aug 31, 2009",5.21
"Sep 30, 2009",3.83
"Oct 31, 2009",-3.06
"Nov 30, 2009",5.61
"Dec 31, 2009",1.76
"Jan 31, 2010",-2.82
"Feb 28, 2010",3.13
"Mar 31, 2010",6.46
"Apr 30, 2010",2.57
"May 31, 2010",-8.22
"Jun 30, 2010",-5.60
"Jul 31, 2010",6.74
"Aug 31, 2010",-4.29
"Sep 30, 2010",7.74
"Oct 31, 2010",2.98
"Nov 30, 2010",-0.54
"Dec 31, 2010",7.86
"Jan 31, 2011",2.24
"Feb 28, 2011",3.66
"Mar 31, 2011",0.38
"Apr 30, 2011",2.65
"May 31, 2011",-1.08
"Jun 30, 2011",-2.05
"Jul 31, 2011",-3.33
"Aug 31, 2011",-6.24
"Sep 30, 2011",-7.55
"Oct 31, 2011",11.40
"Nov 30, 2011",-0.54
"Dec 31, 2011",2.00
"Jan 31, 2012",3.76
"Feb 29, 2012",3.96
"Mar 31, 2012",2.94
"Apr 30, 2012",-1.03
"May 31, 2012",-5.86
"Jun 30, 2012",4.94
"Jul 31, 2012",1.01
"Aug 31, 2012",2.16
"Sep 30, 2012",3.14
"Oct 31, 2012",-0.50
"Nov 30, 2012",-0.07
"Dec 31, 2012",2.06
"Jan 31, 2013",6.46
"Feb 28, 2013",1.42
"Mar 31, 2013",3.94
"Apr 30, 2013",1.49
"May 31, 2013",2.55
"Jun 30, 2013",-0.90
"Jul 31, 2013",5.36
"Aug 31, 2013",-3.79
"Sep 30, 2013",2.49
"Oct 31, 2013",4.34
"Nov 30, 2013",2.77
"Dec 31, 2013",2.50
"Jan 31, 2014",-3.56
"Feb 28, 2014",4.31
"Mar 31, 2014",2.36
"Apr 30, 2014",0.93
"May 31, 2014",1.44
"Jun 30, 2014",2.59
"Jul 31, 2014",-1.72
"Aug 31, 2014",3.65
"Sep 30, 2014",-2.08
"Oct 31, 2014",2.22
"Nov 30, 2014",2.03
"Dec 31, 2014",0.60
"Jan 31, 2015",-4.00
"Feb 28, 2015",4.83
"Mar 31, 2015",-1.38
"Apr 30, 2015",0.92
"May 31, 2015",1.19
"Jun 30, 2015",-2.01
"Jul 31, 2015",0.46
"Aug 31, 2015",-5.98
"Sep 30, 2015",-3.02
"Oct 31, 2015",7.53
"Nov 30, 2015",0.37
"Dec 31, 2015",-2.16
"Jan 31, 2016",-5.17
"Feb 29, 2016",-0.04
"Mar 31, 2016",7.19
"Apr 30, 2016",2.07
"May 31, 2016",1.54
"Jun 30, 2016",0.84
"Jul 31, 2016",2.89
"Aug 31, 2016",0.75
"Sep 30, 2016",-0.22
"Oct 31, 2016",-1.56
"Nov 30, 2016",5.68
"Dec 31, 2016",2.48
"Jan 31, 2017",0.70
"Feb 28, 2017",3.58
"Mar 31, 2017",-1.03
"Apr 30, 2017",-0.19
"May 31, 2017",-0.11
"Jun 30, 2017",1.61
"Jul 31, 2017",1.31
"Aug 31, 2017",-1.18
"Sep 30, 2017",2.94
"Oct 31, 2017",0.72
"Nov 30, 2017",3.05
"Dec 31, 2017",1.44
"Jan 31, 2018",3.86
"Feb 28, 2018",-4.78
"Mar 31, 2018",-1.77
"Apr 30, 2018",0.31
"May 31, 2018",0.59
"Jun 30, 2018",0.23
"Jul 31, 2018",3.94
"Aug 31, 2018",1.47
"Sep 30, 2018",0.18
"Oct 31, 2018",-5.21
"Nov 30, 2018",2.97
"Dec 31, 2018",-9.58
"Jan 31, 2019",7.77
"Feb 28, 2019",3.19